#{"t_start": 1680811236.1065798, "env_id": null}
r,l,t
47156.0,4358,2953.555571
53859.5,6264,2959.27727
49068.5,3947,2969.988611
49399.5,4777,2974.506058
42802.5,2855,2977.090546
49413.5,4757,2981.449687
47267.5,4386,2985.863085
48995.5,3453,2990.765403
51643.0,5576,2997.290366
47177.0,4006,3001.127356
47206.0,4620,3005.354942
53887.5,6213,3011.200446
47329.5,4660,3015.412117
40852.5,3185,3019.926039
51628.0,5458,3027.566202
49509.5,4930,3031.660356
47089.0,3923,3035.467308
51779.0,5930,3041.320542
43114.0,4055,3045.203386
45024.5,3805,3050.558073
51528.5,5361,3056.520147
42977.5,3545,3059.658959
49161.5,4037,3063.486539
53816.0,5998,3069.250432
45040.0,3617,3072.64529
40755.0,2740,3076.389499
51294.5,4546,3084.24299
47025.5,3708,3087.793185
46960.0,3331,3090.761436
45081.0,3855,3093.970273
47439.5,4689,3098.165104
49065.0,3545,3102.783078
57841.5,5876,3110.248018
48957.5,3271,3113.062049
49340.5,4438,3117.369017
46779.0,2939,3120.154434
49662.5,5685,3125.360267
47128.5,3932,3131.021461
49453.5,4842,3136.581983
51543.0,4894,3141.421067
51557.0,5320,3146.608496
49377.0,4631,3150.967633
47180.5,4142,3154.836511
47457.0,4931,3162.124544
42815.0,3030,3164.911107
53617.0,5384,3169.84868
45086.5,3953,3173.368182
45006.5,3498,3176.607979
45092.5,3854,3180.306277
47229.0,4491,3191.250582
55863.5,5727,3196.283302
51078.5,3519,3199.607632
49206.0,4039,3203.506586
49829.5,6246,3209.405082
49455.0,4858,3216.719386
51252.0,4259,3220.925375
44982.0,3583,3224.486346
45262.0,4463,3228.419028
51837.5,5880,3234.125372
49555.5,5054,3238.774188
49034.0,3282,3242.791666
45332.0,4637,3249.705854
51294.5,4094,3253.556939
47174.5,3980,3257.356637
45032.5,3806,3260.901018
46977.0,3239,3264.044372
47262.5,4356,3270.025601
51338.0,4500,3275.151354
49647.0,5246,3280.13318
51386.5,4592,3284.712159
55937.5,6014,3290.426448
45057.0,3553,3293.716678
46941.0,3125,3297.851775
49267.0,4101,3304.037595
46995.5,3450,3307.310961
53305.0,4220,3311.263123
49245.0,4052,3314.931985
36664.0,2447,3317.137917
55345.0,4327,3328.200563
53599.5,5387,3333.48565
51645.0,5316,3338.390245
53789.5,5863,3343.998515
42842.5,3016,3346.892071
44938.0,3237,3351.043476
47230.0,4311,3357.337829
51686.0,5704,3362.762495
44934.0,3213,3365.749171
47310.0,4309,3369.935251
47073.0,3731,3373.131205
47254.0,4032,3378.783455
49258.0,4507,3384.072084
55849.0,6115,3389.615264
52094.5,6598,3395.717036
53603.0,5388,3400.564703
47052.5,3470,3403.505385
51391.5,4582,3410.459415
40837.0,3294,3413.649064
53182.0,3802,3417.163127
51196.5,4012,3421.032302
49592.0,5693,3426.297988
57653.5,5351,3431.155101
47012.0,3820,3436.841305
51134.0,3870,3441.623849
49385.5,4674,3445.915194
57958.0,6270,3451.754165
55526.5,4999,3456.573294
44941.5,3347,3459.543881
45119.5,4000,3465.329561
47057.5,3999,3470.516615
51192.5,4091,3474.267959
53534.5,4956,3478.991406
51607.5,5340,3483.660156
49467.5,5151,3488.307753
45099.5,3981,3494.275175
53689.0,5500,3500.146311
55439.5,4958,3504.626412
49100.5,3745,3507.729575
46949.5,3340,3510.442263
55804.5,5764,3515.972296
47124.0,3899,3521.35249
44941.0,3876,3526.891444
53288.5,4263,3530.992177
54087.0,7062,3537.379765
47164.5,4171,3541.339326
53597.5,5304,3546.374579
49110.5,3881,3552.118554
51613.0,5642,3558.316751
